sn,id,name,domain_name
418,181306,私立曙光女中,sggs.hc.edu.tw
419,181307,私立磐石高中,sphs.hc.edu.tw
420,181308,私立世界高中,wvs.hc.edu.tw
421,183306,市立成德高中,cdjh.hc.edu.tw
422,183307,市立香山高中,hhjh.hc.edu.tw
423,183313,市立建功高中,cksh.hc.edu.tw
424,191302,私立葳格高中,wagor.tc.edu.tw
425,191305,私立新民高中,shinmin.tc.edu.tw
426,191308,私立宜寧高中,inhs.tc.edu.tw
427,191309,私立明德高中,mdhs.tc.edu.tw
428,191311,私立衛道高中,vtsh.tc.edu.tw
429,191313,私立曉明女中,smgsh.tc.edu.tw
430,191314,私立嶺東高中,lths.tc.edu.tw
431,193301,市立臺中女中,tcgs.tc.edu.tw
432,193302,市立臺中一中,tcfsh.tc.edu.tw
433,193303,市立忠明高中,cmsh.tc.edu.tw
434,193313,市立西苑高中,sysh.tc.edu.tw
435,193315,市立東山高中,tsjh.tc.edu.tw
436,193316,市立惠文高中,hwsh.tc.edu.tw
437,194303,市立臺中二中,tcssh.tc.edu.tw
438,194315,市立文華高中,whsh.tc.edu.tw
439,200302,國立嘉義女中,cygsh.cy.edu.tw
440,200303,國立嘉義高中,cysh.cy.edu.tw
441,201304,私立興華高中,hhsh.cy.edu.tw
442,201309,私立仁義高中,zysh.cy.edu.tw
443,201310,私立嘉華高中,chsh.cy.edu.tw
444,201312,私立輔仁高中,fjsh.cy.edu.tw
445,201313,私立宏仁女中,hjgs.cy.edu.tw
446,201314,私立立仁高中,ligvs.cy.edu.tw
447,210303,國立臺南二中,tnssh.tn.edu.tw
448,210305,國立臺南一中,tnfsh.tn.edu.tw
449,210306,國立臺南女中,tngs.tn.edu.tw
450,210309,國立家齊高中,ccsh.tn.edu.tw
451,211301,私立長榮高中,cjshs.tn.edu.tw
452,211302,私立長榮女中,ckgsh.tn.edu.tw
453,211304,財團法人聖功女中,skgsh.tn.edu.tw
454,211310,臺南市光華高中,khgs.tn.edu.tw
455,211314,私立六信高中,lhvs.tn.edu.tw
456,211315,私立瀛海高中,yhsh.tn.edu.tw
457,211317,私立崑山高中,kssh.tn.edu.tw
458,211318,私立德光高中,tkgsh.tn.edu.tw
459,211320,財團法人慈濟高中,tcsh.tn.edu.tw
460,213303,市立南寧高中,nnjh.tn.edu.tw
461,213316,市立土城高中,tcjh.tn.edu.tw
462,313301,市立西松高中,hssh.tp.edu.tw
463,313302,市立中崙高中,zlsh.tp.edu.tw
464,321399,臺北市私立協和祐德高級中學,hhvs.tp.edu.tw
465,323301,市立松山高中,sssh.tp.edu.tw
466,323302,市立永春高中,ycsh.tp.edu.tw
467,331301,私立延平中學,yphs.tp.edu.tw
468,331302,私立金甌女中,cogsh.tp.edu.tw
469,331304,私立復興實驗高中,fhjh.tp.edu.tw
470,333301,市立和平高中,hpsh.tp.edu.tw
471,341302,私立大同高中,tsh.ttu.edu.tw
472,343301,市立中山女中,csghs.tp.edu.tw
473,343302,市立大同高中,ttsh.tp.edu.tw
474,343303,市立大直高中,dcsh.tp.edu.tw
475,351301,私立強恕中學,qshs.tp.edu.tw
476,353301,市立建國中學,ck.tp.edu.tw
477,353302,市立成功中學,cksh.tp.edu.tw
478,353303,市立北一女中,fg.tp.edu.tw
479,361301,臺北市靜修高中,bish.tp.edu.tw
480,363301,市立明倫高中,mlsh.tp.edu.tw
481,363302,市立成淵高中,cyhs.tp.edu.tw
482,373301,市立華江高中,hcsh.tp.edu.tw
483,373302,市立大理高中,tlsh.tp.edu.tw
484,381301,私立東山高中,tshs.tp.edu.tw
485,381302,私立滬江高中,hchs.tp.edu.tw
486,381303,私立大誠高中,tcsh.tp.edu.tw
487,381304,私立再興中學,thsh.tp.edu.tw
488,381305,私立景文高中,jwsh.tp.edu.tw
489,381306,臺北市靜心高中,chjhs.tp.edu.tw
